circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
3,5,10,9,6,2,14,2,0.005,0.01,0.015,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10100,0.0023005215645880385
3,5,10,9,6,2,14,3,0.0575,0.0675,0.0725,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10101,0.07672070506480702
3,5,10,9,6,2,14,3,0.0325,0.0325,0.0375,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10110,0.02641925663618949
3,5,10,9,6,2,14,4,0.0025,0.005,0.005,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10111,0.0004050551819905263
3,5,10,9,6,2,14,2,0.005,0.005,0.0075,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11000,0.0026044197856769477
3,5,10,9,6,2,14,3,0.0175,0.02,0.025,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11001,0.01921291199605421
3,5,10,9,6,2,14,3,0.0175,0.025,0.0275,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11010,0.027828621203934766
3,5,10,9,6,2,14,4,0.01,0.0125,0.0125,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11011,0.012881289254935525
3,5,10,9,6,2,14,3,0.0175,0.0175,0.025,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11100,0.016269380453891338
3,5,10,9,6,2,14,4,0.015,0.0175,0.025,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11101,0.014282390525944976
3,5,10,9,6,2,14,4,0.005,0.0075,0.0075,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11110,0.005645308067685356
3,5,10,9,6,2,14,5,0.005,0.005,0.0075,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,11111,0.004369710920876184
4,3,5,3,2,3,2,0,0.58,0.6225,0.6275,0.11499999999999999,0.11499999999999999,0.12,0.11499999999999999,0.11499999999999999,0.12,000,0.6607626506439779
4,3,5,3,2,3,2,1,0.0575,0.0625,0.065,0.025,0.025,0.025,0.11499999999999999,0.11499999999999999,0.12,010,0.06635697258990345
4,3,5,3,2,3,2,1,0.2125,0.24,0.2425,0.01,0.015,0.0175,0.11499999999999999,0.11499999999999999,0.12,100,0.24797730015699312
4,3,5,3,2,3,2,2,0.01,0.03,0.03,0.0,0.0,0.0025,0.11499999999999999,0.11499999999999999,0.12,110,0.02490307660912556
5,2,9,2,2,4,4,0,0.005,0.0075,0.01,0.08250000000000002,0.08750000000000002,0.10250000000000004,0.08250000000000002,0.08750000000000002,0.10250000000000004,00,9.984603329802339e-09
5,2,9,2,2,4,4,1,0.0175,0.025,0.025,0.0625,0.065,0.075,0.08250000000000002,0.08750000000000002,0.10250000000000004,01,3.737399339453739e-08
5,2,9,2,2,4,4,1,0.225,0.245,0.2725,0.0175,0.0225,0.0225,0.08250000000000002,0.08750000000000002,0.10250000000000004,10,0.21082978693526166
5,2,9,2,2,4,4,2,0.7125,0.715,0.74,0.0,0.0,0.0025,0.08250000000000002,0.08750000000000002,0.10250000000000004,11,0.7891701657061412
6,2,5,3,1,2,1,0,0.0525,0.055,0.0675,0.08999999999999997,0.09250000000000003,0.09750000000000003,0.08999999999999997,0.09250000000000003,0.09750000000000003,00,0.05678509679325088
6,2,5,3,1,2,1,1,0.11,0.15,0.1525,0.0675,0.07,0.07,0.08999999999999997,0.09250000000000003,0.09750000000000003,01,0.11919440979965845
6,2,5,3,1,2,1,1,0.2775,0.31,0.31,0.0175,0.0225,0.0225,0.08999999999999997,0.09250000000000003,0.09750000000000003,10,0.26589507144140007
6,2,5,3,1,2,1,2,0.5025,0.5125,0.515,0.0,0.0025,0.0025,0.08999999999999997,0.09250000000000003,0.09750000000000003,11,0.5581254219656906
7,3,11,7,8,9,3,0,0.2725,0.2975,0.2975,0.09999999999999998,0.10499999999999998,0.12250000000000005,0.09999999999999998,0.10499999999999998,0.12250000000000005,000,0.2976896403400676
7,3,11,7,8,9,3,1,0.3475,0.355,0.3575,0.0725,0.08,0.0825,0.09999999999999998,0.10499999999999998,0.12250000000000005,001,0.3557867816510245
7,3,11,7,8,9,3,1,0.0225,0.03,0.0375,0.0175,0.0175,0.02,0.09999999999999998,0.10499999999999998,0.12250000000000005,010,0.022259499328820997
7,3,11,7,8,9,3,2,0.03,0.0375,0.0425,0.0025,0.0025,0.0025,0.09999999999999998,0.10499999999999998,0.12250000000000005,011,0.026603665543474448
7,3,11,7,8,9,3,1,0.02,0.02,0.0225,0.005,0.005,0.0175,0.09999999999999998,0.10499999999999998,0.12250000000000005,100,0.009433857766755474
7,3,11,7,8,9,3,2,0.02,0.02,0.02,0.0,0.0,0.0,0.09999999999999998,0.10499999999999998,0.12250000000000005,101,0.011274970434151481
7,3,11,7,8,9,3,2,0.12,0.1225,0.1275,0.0,0.0,0.0,0.09999999999999998,0.10499999999999998,0.12250000000000005,110,0.12616464027870566
7,3,11,7,8,9,3,3,0.1325,0.135,0.14,0.0,0.0,0.0,0.09999999999999998,0.10499999999999998,0.12250000000000005,111,0.15078694465699968
8,5,5,5,9,2,2,0,0.0,0.0,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,0.15500000000000003,0.15749999999999997,0.16500000000000004,00000,0.0006152817924357603
8,5,5,5,9,2,2,1,0.005,0.0075,0.0075,0.0575,0.06,0.06,0.15500000000000003,0.15749999999999997,0.16500000000000004,00001,0.008180089195510224
8,5,5,5,9,2,2,1,0.0,0.0,0.0025,0.0175,0.025,0.025,0.15500000000000003,0.15749999999999997,0.16500000000000004,00010,0.0008910317956072568
8,5,5,5,9,2,2,2,0.01,0.015,0.02,0.0,0.0,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,00011,0.011846148632561702
8,5,5,5,9,2,2,1,0.0125,0.0125,0.015,0.01,0.0125,0.0175,0.15500000000000003,0.15749999999999997,0.16500000000000004,00100,0.005102355978470705
8,5,5,5,9,2,2,2,0.0675,0.0675,0.0675,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,00101,0.06783514078306312
8,5,5,5,9,2,2,2,0.0125,0.015,0.015,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,00110,0.0073890719101668235
8,5,5,5,9,2,2,3,0.0875,0.095,0.0975,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,00111,0.09823672346604408
8,5,5,5,9,2,2,1,0.0,0.0,0.0,0.0125,0.015,0.0225,0.15500000000000003,0.15749999999999997,0.16500000000000004,01000,0.0006039521951081925
8,5,5,5,9,2,2,2,0.0075,0.01,0.01,0.0,0.0025,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,01001,0.008029463713287145
8,5,5,5,9,2,2,2,0.0,0.0,0.0025,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01010,0.0008746246280713436
8,5,5,5,9,2,2,3,0.0125,0.015,0.0175,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01011,0.011628017533056667
